,Sample,X18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,VisitDur,VisitNum,VisitRichnessPerFlower,APIS_visits,BOMB_visits,PEPO_visits,Other1_visits,Other2_visits,Native_visits,APIS_freq,BOMB_freq,PEPO_freq,Other1_freq,Other2_freq,Native_freq,APIS_rate,BOMB_rate,PEPO_rate,Other1_rate,Other2_rate,APIS_dur,APIS_dur2,APIS_dur3,APIS_dur4,APIS_dur5,APIS_visitdur,APIS_visitdur2,APIS_visitdur3,APIS_visitdur4,APIS_visitdur5,BOMB_dur,BOMB_dur2,BOMB_dur3,BOMB_dur4,BOMB_dur5,BOMB_visitdur,BOMB_visitdur2,BOMB_visitdur3,BOMB_visitdur4,BOMB_visitdur5,PEPO_dur,PEPO_dur2,PEPO_dur3,PEPO_dur4,PEPO_dur5,PEPO_visitdur,PEPO_visitdur2,PEPO_visitdur3,PEPO_visitdur4,PEPO_visitdur5,Other1_dur,Other1_dur2,Other1_dur3,Other1_dur4,Other1_dur5,Other1_visitdur,Other1_visitdur2,Other1_visitdur3,Other1_visitdur4,Other1_visitdur5,Other2_dur,Other2_dur2,Other2_dur3,Other2_dur4,Other2_dur5,Other2_visitdur,Other2_visitdur2,Other2_visitdur3,Other2_visitdur4,Other2_visitdur5,VisitShannon
1,2342,1,1,BP16B1N,BP16B1N-27,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
2,2348,1,0,BP16B1N,BP16B1N-33,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
3,2341,1,1,BP16B1N,BP16B1N-26,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
4,2352,1,1,BP16B1N,BP16B1N-37,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
5,2318,1,0,BP16A1N,BP16A1N-3,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
6,2345,1,0,BP16B1N,BP16B1N-30,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
7,2316,1,0,BP16A1N,BP16A1N-1,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
8,2327,1,1,BP16A1N,BP16A1N-12,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
9,2336,1,1,BP16A1N,BP16A1N-21,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
10,2388,1,0,BP16D1N,BP16D1N-73,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
11,2373,1,1,BP16C1N,BP16C1N-58,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
12,2375,1,1,BP16C1N,BP16C1N-60,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,195.25,7.375,2.5,1.875,3.25,0.625,1.75,1.125,5,0.291666666666667,0.491937229437229,0.0553571428571429,0.279166666666667,0.223809523809524,0.771103896103896,0.059682192,0.104691843625,0.019343801875,0.0545844426817709,0.0352406408858304,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333,7,0.625,0,1.75,4.625,3.33333333333333,0.208333333333333,0,0.75,2.375,42.5,21.625,6.625,4.625,9.625,11.3809523809524,6.875,2.11309523809524,0.708333333333333,1.68452380952381,35.5,21.625,6.625,4.625,9.625,15.28125,10.1875,3.1875,1.21875,2.8125,0.652935063363089
